Case,Limit_Flag,Day,Mach,Alt,Tds,Tt1,Tt2,Tt3,Tt4,Tt5,Tt9,Pt1,Pt2,Pt3,Pt4,Pt5,Pt9,Fn,Fg,Fr,PercFn,WFuel,TSFC,CmpH_Nc,N
1,NONE,STD,0,0,0,518.67,518.667,968.757,1300,869.835,869.835,14.696,13.961,111.688,106.103,20.552,20.552,200,200,0,1,111.9,0.5595,1.00E+04,1.00E+04
2,NONE,STD,0,0,0,518.67,518.667,951.145,1266.018,851.438,851.438,14.696,13.961,105.397,100.127,19.913,19.913,180,180,0,0.9,101,0.56102,9.88E+03,9.88E+03
3,NONE,STD,0,0,0,518.67,518.667,932.058,1230.239,832.746,832.746,14.696,13.961,98.818,93.878,19.282,19.282,160,160,0,0.8,90.2,0.56398,9.76E+03,9.76E+03
4,NONE,STD,0,0,0,518.67,518.667,911.285,1192.756,814.088,814.088,14.696,13.961,91.86,87.267,18.663,18.663,140,140,0,0.7,79.7,0.56959,9.63E+03,9.63E+03
5,NONE,STD,0,0,0,518.67,518.667,888.838,1161.449,803.765,803.765,14.696,13.961,83.683,79.499,18.06,18.06,120,120,0,0.6,71.2,0.59346,9.48E+03,9.48E+03
6,NONE,STD,0,0,0,518.67,518.667,862.973,1128.615,795.359,795.359,14.696,13.961,74.936,71.19,17.476,17.476,100,100,0,0.5,63,0.62986,9.31E+03,9.31E+03
7,NONE,STD,0,0,0,518.67,518.667,832.216,1095.17,791.327,791.327,14.696,13.961,65.347,62.08,16.901,16.901,80,80,0,0.4,55.3,0.69098,9.10E+03,9.10E+03
8,NONE,STD,0,0,0,518.67,518.667,792.457,1067.038,801.9,801.9,14.696,13.961,53.944,51.247,16.33,16.33,60,60,0,0.3,49.1,0.81823,8.80E+03,8.80E+03
9,NONE,STD,0,0,0,518.67,518.667,736.499,1058.637,848.767,848.767,14.696,13.961,40.377,38.358,15.788,15.788,40,40,0,0.2,45.2,1.12996,8.35E+03,8.35E+03
10,NONE,STD,0,0,0,518.67,518.667,610.682,1608.606,1528.645,1528.645,14.696,13.961,20.472,19.449,15.239,15.239,20,20,0,0.1,75.8,3.78885,6.52E+03,6.52E+03
11,NONE,STD,0.1,0,0,518.67,519.704,970.705,1300,868.864,868.864,14.696,14.06,112.509,106.884,20.611,20.611,178.9,201.9,23,1,111.9,0.62568,1.00E+04,1.00E+04
12,NONE,STD,0.1,0,0,518.67,519.704,954.28,1268.115,851.498,851.498,14.696,14.06,106.605,101.275,20.006,20.006,161,183,22,0.9,101.6,0.63126,9.89E+03,9.90E+03
13,NONE,STD,0.1,0,0,518.67,519.704,936.501,1234.556,833.833,833.833,14.696,14.06,100.419,95.398,19.408,19.408,143.1,164.1,21,0.8,91.4,0.63911,9.78E+03,9.79E+03
14,NONE,STD,0.1,0,0,518.67,519.704,917.168,1198.395,815.111,815.111,14.696,14.06,93.984,89.285,18.816,18.816,125.2,145,19.8,0.7,81.2,0.64888,9.65E+03,9.66E+03
15,NONE,STD,0.1,0,0,518.67,519.704,896.298,1168.122,804.266,804.266,14.696,14.06,86.309,81.994,18.232,18.232,107.3,125.8,18.5,0.6,72.9,0.67932,9.51E+03,9.52E+03
16,NONE,STD,0.1,0,0,518.67,519.704,872.367,1136.661,795.338,795.338,14.696,14.06,78.004,74.104,17.663,17.663,89.4,106.4,17,0.5,64.9,0.72538,9.35E+03,9.36E+03
17,NONE,STD,0.1,0,0,518.67,519.704,844.204,1103.159,788.622,788.622,14.696,14.06,69.011,65.561,17.1,17.1,71.5,86.9,15.3,0.4,57,0.7972,9.17E+03,9.18E+03
18,NONE,STD,0.1,0,0,518.67,519.704,808.158,1073.36,793.771,793.771,14.696,14.06,58.192,55.282,16.529,16.529,53.7,67,13.3,0.3,50.5,0.94209,8.91E+03,8.91E+03
19,NONE,STD,0.1,0,0,518.67,519.704,758.51,1052.847,822.01,822.01,14.696,14.06,45.369,43.101,15.975,15.975,35.8,46.6,10.8,0.2,45.5,1.27092,8.53E+03,8.53E+03
20,NONE,STD,0.1,0,0,518.67,519.704,663.838,1160.323,1024.751,1024.751,14.696,14.06,27.091,25.737,15.374,15.374,17.9,24.9,7,0.1,49.8,2.78538,7.55E+03,7.55E+03
21,NONE,STD,0.2,0,0,518.67,522.814,976.455,1300,866.038,866.038,14.696,14.36,114.965,109.217,20.789,20.789,160.7,207.6,46.9,1,111.9,0.69639,1.00E+04,1.00E+04
22,NONE,STD,0.2,0,0,518.67,522.814,961.346,1270.19,849.557,849.557,14.696,14.36,109.442,103.97,20.212,20.212,144.6,189.6,45,0.9,102.2,0.70653,9.90E+03,9.94E+03
23,NONE,STD,0.2,0,0,518.67,522.814,945.068,1238.791,832.664,832.664,14.696,14.36,103.66,98.477,19.639,19.639,128.6,171.6,43,0.8,92.5,0.71972,9.79E+03,9.83E+03
24,NONE,STD,0.2,0,0,518.67,522.814,927.431,1205.284,815.015,815.015,14.696,14.36,97.61,92.73,19.071,19.071,112.5,153.4,40.9,0.7,82.9,0.73665,9.68E+03,9.72E+03
25,NONE,STD,0.2,0,0,518.67,522.814,908.268,1174.767,802.189,802.189,14.696,14.36,90.609,86.078,18.503,18.503,96.4,134.9,38.5,0.6,74.4,0.77181,9.55E+03,9.59E+03
26,NONE,STD,0.2,0,0,518.67,522.814,886.511,1144.86,792.701,792.701,14.696,14.36,82.749,78.612,17.948,17.948,80.3,116,35.7,0.5,66.6,0.82937,9.41E+03,9.45E+03
