User:                 cchurko3  Version: NPSS_1.6.5 - Rev: ->Date:           Time: 08:58:34

   Case  Limit_Flag         Day  Mach       Alt         Tds         Tt1         Tt2         Tt3         Tt4          Tt5         Tt9         Pt1         Pt2         Pt3         Pt4          Pt5         Pt9        W1        Fn        Fg        Fr    PercFn     WFuel      TSFC       CmpH_Nc             N       HPX 
      1        NONE         STD  0.00       0.0       0.000     518.670     518.667     627.063    1403.828     1306.501    1306.501      14.696      13.961      26.662      25.076       18.571      18.571    2.4548      77.3      77.3       0.0       0.0      96.8   1.25211   4.4000E+004   4.4000E+004       0.0 
      2        NONE         STD  0.00       0.0       0.000     518.670     518.667     639.716    1627.935     1522.732    1522.732      14.696      13.961      28.416      26.725       20.030      20.030    2.6580     103.8     103.8       0.0       0.0     136.4   1.31406   4.6750E+004   4.6750E+004       0.0 
      3        NONE         STD  0.00       0.0       0.000     518.670     518.667     653.302    2000.383     1889.388    1889.388      14.696      13.961      30.417      28.607       22.085      22.085    2.7897     139.3     139.3       0.0       0.0     202.7   1.45457   4.9500E+004   4.9500E+004       0.0 
      4        NONE         STD  0.00       0.0       0.000     518.670     518.667     667.847    2343.449     2225.842    2225.842      14.696      13.961      32.629      30.687       24.071      24.071    2.8720     171.6     171.6       0.0       0.0     268.5   1.56460   5.2250E+004   5.2250E+004       0.0 
      5        NONE         STD  0.00       0.0       0.000     518.670     518.667     683.397    2649.985     2525.031    2525.031      14.696      13.961      34.902      32.826       25.936      25.936    2.9222     200.0     200.0       0.0       0.0     330.6   1.65284   5.5000E+004   5.5000E+004       0.0 
      6         TT4         STD  0.00       0.0       0.000     518.670     518.667     700.177    2942.749     2810.119    2810.119      14.696      13.961      36.990      34.789       27.584      27.584    2.9379     224.1     224.1       0.0       0.0     390.2   1.74153   5.7750E+004   5.7750E+004       0.0 
      7         TT4         STD  0.00       0.0       0.000     518.670     518.667     718.089    3252.818     3113.210    3113.210      14.696      13.961      38.580      36.285       28.894      28.894    2.9113     243.6     243.6       0.0       0.0     451.0   1.85177   6.0500E+004   6.0500E+004       0.0 
      8        NONE         STD  0.10       0.0       0.000     518.670     519.704     628.230    1401.267     1303.945    1303.945      14.696      14.060      26.816      25.221       18.670      18.670    2.4910      70.6      79.2       8.6       0.0      97.7   1.38468   4.4000E+004   4.4044E+004       0.0 
      9        NONE         STD  0.10       0.0       0.000     518.670     519.704     640.963    1529.769     1422.711    1422.711      14.696      14.060      28.600      26.898       19.750      19.750    2.6821      89.5      98.8       9.3       0.0     122.6   1.36947   4.6750E+004   4.6797E+004       0.0 
     10        NONE         STD  0.10       0.0       0.000     518.670     519.704     654.474    1551.890     1433.151    1433.151      14.696      14.060      30.486      28.672       20.391      20.391    2.8386     100.5     110.3       9.8       0.0     131.4   1.30805   4.9500E+004   4.9549E+004       0.0 
     11        NONE         STD  0.10       0.0       0.000     518.670     519.704     668.677    1592.002     1461.393    1461.393      14.696      14.060      32.460      30.528       21.102      21.102    2.9828     112.5     122.8      10.3       0.0     142.7   1.26909   5.2250E+004   5.2302E+004       0.0 
     12        NONE         STD  0.10       0.0       0.000     518.670     519.704     683.517    1645.259     1502.616    1502.616      14.696      14.060      34.592      32.533       21.919      21.919    3.1249     126.1     136.9      10.8       0.0     156.7   1.24264   5.5000E+004   5.5055E+004       0.0 
     13        NONE         STD  0.10       0.0       0.000     518.670     519.704     699.002    1712.009     1557.247    1557.247      14.696      14.060      36.892      34.697       22.871      22.871    3.2643     141.6     152.9      11.3       0.0     173.7   1.22718   5.7750E+004   5.7808E+004       0.0 
     14        NONE         STD  0.10       0.0       0.000     518.670     519.704     715.645    1811.701     1644.796    1644.796      14.696      14.060      38.874      36.561       23.758      23.758    3.3392     155.8     167.4      11.6       0.0     194.4   1.24738   6.0500E+004   6.0560E+004       0.0 
     15        NONE         STD  0.20       0.0       0.000     518.670     522.814     631.827    1418.417     1320.596    1320.596      14.696      14.360      27.293      25.669       19.030      19.030    2.5819      67.9      85.8      17.9       0.0     103.3   1.52177   4.4000E+004   4.4175E+004       0.0 
     16        NONE         STD  0.20       0.0       0.000     518.670     522.814     644.692    1704.650     1599.941    1599.941      14.696      14.360      29.103      27.372       20.754      20.754    2.7618      97.5     116.7      19.2       0.0     153.2   1.57172   4.6750E+004   4.6936E+004       0.0 
     17        NONE         STD  0.20       0.0       0.000     518.670     522.814     658.471    2062.232     1951.281    1951.281      14.696      14.360      31.229      29.371       22.815      22.815    2.8755     131.6     151.5      20.0       0.0     219.1   1.66481   4.9500E+004   4.9697E+004       0.0 
     18        NONE         STD  0.20       0.0       0.000     518.670     522.814     673.198    2387.371     2269.436    2269.436      14.696      14.360      33.544      31.548       24.814      24.814    2.9492     162.7     183.2      20.5       0.0     283.4   1.74144   5.2250E+004   5.2458E+004       0.0 
     19         TT4         STD  0.20       0.0       0.000     518.670     522.814     688.932    2685.296     2559.818    2559.818      14.696      14.360      35.899      33.763       26.710      26.710    2.9952     190.7     211.5      20.8       0.0     345.2   1.81044   5.5000E+004   5.5219E+004       0.0 
     20         TT4         STD  0.20       0.0       0.000     518.670     522.814     705.876    2977.563     2844.363    2844.363      14.696      14.360      38.048      35.784       28.401      28.401    3.0104     215.2     236.1      20.9       0.0     406.5   1.88898   5.7750E+004   5.7980E+004       0.0 
     21         TT4         STD  0.20       0.0       0.000     518.670     522.814     723.964    3292.837     3152.814    3152.814      14.696      14.360      39.684      37.323       29.758      29.758    2.9829     235.7     256.4      20.7       0.0     470.4   1.99535   6.0500E+004   6.0741E+004       0.0 
     22        NONE         STD  0.30       0.0       0.000     518.670     527.997     637.891    1430.591     1332.065    1332.065      14.696      14.871      28.058      26.388       19.562      19.562    2.7254      67.1      95.5      28.4       0.0     110.0   1.63886   4.4000E+004   4.4394E+004       0.0 
     23        NONE         STD  0.30       0.0       0.000     518.670     527.997     651.019    1784.393     1679.911    1679.911      14.696      14.871      29.976      28.193       21.599      21.599    2.8741     101.3     131.2      29.9       0.0     171.9   1.69698   4.6750E+004   4.7168E+004       0.0 
     24        NONE         STD  0.30       0.0       0.000     518.670     527.997     664.994    2127.708     2016.590    2016.590      14.696      14.871      32.260      30.341       23.702      23.702    2.9758     135.0     166.0      31.0       0.0     237.8   1.76111   4.9500E+004   4.9943E+004       0.0 
     25        NONE         STD  0.30       0.0       0.000     518.670     527.997     679.912    2433.935     2315.450    2315.450      14.696      14.871      34.720      32.655       25.745      25.745    3.0447     165.7     197.4      31.7       0.0     300.8   1.81535   5.2250E+004   5.2718E+004       0.0 
     26         TT4         STD  0.30       0.0       0.000     518.670     527.997     695.870    2723.848     2597.609    2597.609      14.696      14.871      37.173      34.961       27.686      27.686    3.0870     193.7     225.8      32.1       0.0     362.9   1.87390   5.5000E+004   5.5492E+004       0.0 
     27         TT4         STD  0.30       0.0       0.000     518.670     527.997     713.017    3021.570     2887.673    2887.673      14.696      14.871      39.400      37.056       29.443      29.443    3.1025     219.3     251.6      32.3       0.0     427.7   1.95080   5.7750E+004   5.8267E+004       0.0 
     28         TT4         STD  0.30       0.0       0.000     518.670     527.997     731.145    3341.774     3201.393    3201.393      14.696      14.871      41.094      38.649       30.868      30.868    3.0736     240.9     272.9      32.0       0.0     495.2   2.05546   6.0500E+004   6.1042E+004       0.0 
     29        NONE         STD  0.40       0.0       0.000     518.670     535.254     646.520    1538.222     1440.129    1440.129      14.696      15.605      29.114      27.382       20.671      20.671    2.9019      75.0     115.3      40.3       0.0     133.2   1.77705   4.4000E+004   4.4698E+004       0.0 
     30        NONE         STD  0.40       0.0       0.000     518.670     535.254     659.906    1882.179     1777.717    1777.717      14.696      15.605      31.295      29.433       22.799      22.799    3.0240     109.5     151.4      42.0       0.0     197.1   1.80032   4.6750E+004   4.7491E+004       0.0 
     31        NONE         STD  0.40       0.0       0.000     518.670     535.254     674.159    2198.720     2087.049    2087.049      14.696      15.605      33.789      31.779       24.951      24.951    3.1122     142.4     185.6      43.2       0.0     261.1   1.83446   4.9500E+004   5.0285E+004       0.0 
     32        NONE         STD  0.40       0.0       0.000     518.670     535.254     689.360    2489.522     2370.113    2370.113      14.696      15.605      36.430      34.262       27.069      27.069    3.1759     172.9     217.0      44.1       0.0     323.9   1.87281   5.2250E+004   5.3079E+004       0.0 
     33         TT4         STD  0.40       0.0       0.000     518.670     535.254     705.600    2777.912     2650.626    2650.626      14.696      15.605      39.009      36.688       29.091      29.091    3.2183     201.9     246.5      44.7       0.0     388.8   1.92627   5.5000E+004   5.5872E+004       0.0 
     34         TT4         STD  0.40       0.0       0.000     518.670     535.254     722.836    3077.573     2942.753    2942.753      14.696      15.605      41.347      38.887       30.940      30.940    3.2334     228.7     273.5      44.9       0.0     457.4   2.00053   5.7750E+004   5.8666E+004       0.0 
     35         TT4         STD  0.40       0.0       0.000     518.670     535.254     741.130    3416.197     3275.601    3275.601      14.696      15.605      43.124      40.559       32.492      32.492    3.2034     252.7     297.2      44.5       0.0     533.2   2.10966   6.0500E+004   6.1460E+004       0.0 
     36        NONE         STD  0.50       0.0       0.000     518.670     544.583     657.724    1659.339     1561.402    1561.402      14.696      16.585      30.610      28.788       22.102      22.102    3.1000      86.1     139.9      53.8       0.0     161.9   1.87988   4.4000E+004   4.5086E+004       0.0 
     37        NONE         STD  0.50       0.0       0.000     518.670     544.583     671.375    1980.268     1875.344    1875.344      14.696      16.585      33.135      31.163       24.358      24.358    3.2079     120.9     176.6      55.7       0.0     226.2   1.87018   4.6750E+004   4.7904E+004       0.0 
