Case,Limit_Flag,Day,Mach,Alt,Tamb,Tds,Pamb,Fn,Fg,Fr,WFuel,TSFC,CmpH_Nc,N
1,NONE,STD,0,0,518.67,0,14.696,27905.5,27905.5,0,9528.2,0.34144,8.17E+03,9.21E+03
2,NONE,STD,0,0,518.67,0,14.696,25115,25115,0,8536.8,0.33991,8.15E+03,9.11E+03
3,NONE,STD,0,0,518.67,0,14.696,22324.4,22324.4,0,7534.3,0.33749,8.12E+03,9.00E+03
4,NONE,STD,0,0,518.67,0,14.696,19533.9,19533.9,0,6485.3,0.332,8.08E+03,8.87E+03
5,NONE,STD,0,0,518.67,0,14.696,16743.3,16743.3,0,5442.5,0.32505,8.03E+03,8.73E+03
6,NONE,STD,0,0,518.67,0,14.696,13952.8,13952.8,0,4429.5,0.31746,7.98E+03,8.56E+03
7,NONE,STD,0,0,518.67,0,14.696,11162.2,11162.2,0,3477.8,0.31157,7.91E+03,8.38E+03
8,NONE,STD,0,0,518.67,0,14.696,8371.7,8371.7,0,2585.1,0.30879,7.81E+03,8.16E+03
9,NONE,STD,0,0,518.67,0,14.696,5581.1,5581.1,0,1795.2,0.32166,7.65E+03,7.88E+03
10,NONE,STD,0,0,518.67,0,14.696,2790.6,2790.6,0,1129,0.40458,7.47E+03,7.59E+03
11,NONE,STD,0.1,0,518.67,0,14.696,24876.8,28748.7,3871.8,9609.5,0.38628,8.17E+03,9.22E+03
12,NONE,STD,0.1,0,518.67,0,14.696,22389.1,26076,3686.9,8651.6,0.38642,8.15E+03,9.12E+03
13,NONE,STD,0.1,0,518.67,0,14.696,19901.5,23394.4,3493,7685.9,0.3862,8.12E+03,9.02E+03
14,NONE,STD,0.1,0,518.67,0,14.696,17413.8,20703.5,3289.7,6674.5,0.38329,8.09E+03,8.89E+03
15,NONE,STD,0.1,0,518.67,0,14.696,14926.1,17998.5,3072.4,5663.3,0.37943,8.04E+03,8.76E+03
16,NONE,STD,0.1,0,518.67,0,14.696,12438.4,15274,2835.5,4673.3,0.37571,7.99E+03,8.60E+03
17,NONE,STD,0.1,0,518.67,0,14.696,9950.7,12523.5,2572.7,3729,0.37474,7.93E+03,8.43E+03
18,NONE,STD,0.1,0,518.67,0,14.696,7463,9737.4,2274.3,2834,0.37974,7.84E+03,8.23E+03
19,NONE,STD,0.1,0,518.67,0,14.696,4975.4,6894.6,1919.2,2009.6,0.40392,7.69E+03,7.96E+03
20,NONE,STD,0.1,0,518.67,0,14.696,2487.7,3944.9,1457.2,1289.3,0.51826,7.52E+03,7.67E+03
21,NONE,STD,0.2,0,518.67,0,14.696,22334.7,30297,7962.3,9730,0.43565,8.16E+03,9.23E+03
22,NONE,STD,0.2,0,518.67,0,14.696,20101.2,27716.8,7615.6,8785.6,0.43707,8.14E+03,9.14E+03
23,NONE,STD,0.2,0,518.67,0,14.696,17867.8,25120.1,7252.3,7833.8,0.43843,8.12E+03,9.03E+03
24,NONE,STD,0.2,0,518.67,0,14.696,15634.3,22506,6871.7,6842.8,0.43768,8.08E+03,8.92E+03
25,NONE,STD,0.2,0,518.67,0,14.696,13400.8,19866,6465.1,5855.7,0.43696,8.04E+03,8.78E+03
26,NONE,STD,0.2,0,518.67,0,14.696,11167.4,17191.7,6024.3,4887,0.43761,7.99E+03,8.64E+03
27,NONE,STD,0.2,0,518.67,0,14.696,8933.9,14469,5535.1,3952.6,0.44243,7.94E+03,8.47E+03
28,NONE,STD,0.2,0,518.67,0,14.696,6700.4,11682.6,4982.2,3060.8,0.45681,7.86E+03,8.29E+03
29,NONE,STD,0.2,0,518.67,0,14.696,4466.9,8797.7,4330.7,2225.1,0.49813,7.73E+03,8.04E+03
30,NONE,STD,0.2,0,518.67,0,14.696,2233.5,5741.1,3507.6,1464.8,0.65582,7.56E+03,7.75E+03
31,NONE,STD,0.3,0,518.67,0,14.696,20598.9,33125.6,12526.7,9956.6,0.48335,8.15E+03,9.26E+03
32,NONE,STD,0.3,0,518.67,0,14.696,18539.1,30574.1,12035,9005.3,0.48575,8.13E+03,9.16E+03
33,NONE,STD,0.3,0,518.67,0,14.696,16479.2,27999.8,11520.6,8047,0.48832,8.11E+03,9.06E+03
34,NONE,STD,0.3,0,518.67,0,14.696,14419.3,25400.7,10981.5,7062.1,0.48977,8.08E+03,8.95E+03
35,NONE,STD,0.3,0,518.67,0,14.696,12359.4,22766.7,10407.3,6080.2,0.49195,8.04E+03,8.82E+03
36,NONE,STD,0.3,0,518.67,0,14.696,10299.5,20085.7,9786.3,5119.3,0.49704,7.99E+03,8.68E+03
37,NONE,STD,0.3,0,518.67,0,14.696,8239.6,17345,9105.4,4182.2,0.50757,7.94E+03,8.52E+03
38,NONE,STD,0.3,0,518.67,0,14.696,6179.7,14516.9,8337.2,3285,0.53158,7.87E+03,8.34E+03
39,NONE,STD,0.3,0,518.67,0,14.696,4119.8,11563.3,7443.5,2435.6,0.59119,7.75E+03,8.11E+03
40,NONE,STD,0.3,0,518.67,0,14.696,2059.9,8407.6,6347.7,1644.6,0.79837,7.59E+03,7.83E+03
41,NONE,STD,0.4,0,518.67,0,14.696,19711.8,37594.2,17882.4,10333.9,0.52425,8.14E+03,9.29E+03
42,NONE,STD,0.4,0,518.67,0,14.696,17740.6,34999.4,17258.8,9309.5,0.52476,8.12E+03,9.19E+03
43,NONE,STD,0.4,0,518.67,0,14.696,15769.4,32371.4,16601.9,8314,0.52722,8.09E+03,9.09E+03
44,NONE,STD,0.4,0,518.67,0,14.696,13798.2,29710.9,15912.6,7306.2,0.5295,8.06E+03,8.98E+03
45,NONE,STD,0.4,0,518.67,0,14.696,11827.1,27007.2,15180.2,6305.1,0.53311,8.02E+03,8.85E+03
46,NONE,STD,0.4,0,518.67,0,14.696,9855.9,24245.9,14390.1,5330.9,0.54088,7.98E+03,8.72E+03
47,NONE,STD,0.4,0,518.67,0,14.696,7884.7,21413.3,13528.5,4380,0.55551,7.93E+03,8.57E+03
48,NONE,STD,0.4,0,518.67,0,14.696,5913.5,18485.6,12572.1,3457.8,0.58472,7.86E+03,8.39E+03
49,NONE,STD,0.4,0,518.67,0,14.696,3942.4,15412.4,11470,2593.9,0.65795,7.74E+03,8.17E+03
50,NONE,STD,0.4,0,518.67,0,14.696,1971.2,12121.8,10150.7,1766.7,0.89625,7.59E+03,7.89E+03
51,NONE,STD,0.5,0,518.67,0,14.696,18635.4,42470.7,23835.3,10704.7,0.57443,8.12E+03,9.34E+03
52,NONE,STD,0.5,0,518.67,0,14.696,16771.8,39881.9,23110.1,9680.4,0.57718,8.10E+03,9.25E+03
53,NONE,STD,0.5,0,518.67,0,14.696,14908.3,37263.3,22355,8628.7,0.57878,8.08E+03,9.14E+03
54,NONE,STD,0.5,0,518.67,0,14.696,13044.8,34587.9,21543.1,7596,0.5823,8.05E+03,9.03E+03
55,NONE,STD,0.5,0,518.67,0,14.696,11181.2,31860.6,20679.4,6590.9,0.58946,8.01E+03,8.91E+03
56,NONE,STD,0.5,0,518.67,0,14.696,9317.7,29069.9,19752.2,5608.1,0.60187,7.96E+03,8.78E+03
57,NONE,STD,0.5,0,518.67,0,14.696,7454.1,26200,18745.9,4653.3,0.62425,7.91E+03,8.63E+03
58,NONE,STD,0.5,0,518.67,0,14.696,5590.6,23231.1,17640.5,3724.3,0.66616,7.85E+03,8.47E+03
59,NONE,STD,0.5,0,518.67,0,14.696,3727.1,20114.1,16387,2844.9,0.76332,7.74E+03,8.26E+03
60,NONE,STD,0.5,0,518.67,0,14.696,1863.5,16795.2,14931.7,1987.4,1.06649,7.60E+03,8.00E+03
61,NONE,STD,0.6,0,518.67,0,14.696,17725.3,48335.1,30609.8,11135.9,0.62825,8.10E+03,9.41E+03
62,NONE,STD,0.6,0,518.67,0,14.696,15952.7,45744.3,29791.5,10088.5,0.6324,8.08E+03,9.31E+03
63,NONE,STD,0.6,0,518.67,0,14.696,14180.2,43120.1,28939.9,9033.7,0.63706,8.06E+03,9.21E+03
64,NONE,STD,0.6,0,518.67,0,14.696,12407.7,40450.4,28042.7,7992.2,0.64414,8.03E+03,9.10E+03
65,NONE,STD,0.6,0,518.67,0,14.696,10635.2,37730.8,27095.6,6956.4,0.6541,7.99E+03,8.98E+03
66,NONE,STD,0.6,0,518.67,0,14.696,8862.6,34925.2,26062.6,5942.2,0.67048,7.95E+03,8.85E+03
67,NONE,STD,0.6,0,518.67,0,14.696,7090.1,32023.2,24933.1,4986.1,0.70324,7.90E+03,8.72E+03
68,NONE,STD,0.6,0,518.67,0,14.696,5317.6,29023.4,23705.8,4045.7,0.76082,7.84E+03,8.56E+03
69,NONE,STD,0.6,0,518.67,0,14.696,3545.1,25876.1,22331,3151.9,0.88909,7.74E+03,8.37E+03
70,NONE,STD,0.6,0,518.67,0,14.696,1772.5,22542.1,20769.6,2271.8,1.28167,7.61E+03,8.13E+03
71,NONE,STD,0.7,0,518.67,0,14.696,17020,55396,38375.9,11624.5,0.68299,8.07E+03,9.48E+03
72,NONE,STD,0.7,0,518.67,0,14.696,15318,52790.2,37472.1,10553.3,0.68895,8.05E+03,9.39E+03
73,NONE,STD,0.7,0,518.67,0,14.696,13616,50149.8,36533.8,9482.5,0.69642,8.03E+03,9.29E+03
74,NONE,STD,0.7,0,518.67,0,14.696,11914,47462.1,35548.1,8423.9,0.70706,8.00E+03,9.18E+03
75,NONE,STD,0.7,0,518.67,0,14.696,10212,44721.2,34509.2,7373.3,0.72202,7.97E+03,9.07E+03
76,NONE,STD,0.7,0,518.67,0,14.696,8510,41906.6,33396.6,6355.8,0.74686,7.93E+03,8.95E+03
77,NONE,STD,0.7,0,518.67,0,14.696,6808,39004.8,32196.8,5366.2,0.78822,7.88E+03,8.81E+03
78,NONE,STD,0.7,0,518.67,0,14.696,5106,35999,30893,4398.5,0.86144,7.82E+03,8.66E+03
79,NONE,STD,0.7,0,518.67,0,14.696,3404,32812,29408,3488.8,1.0249,7.73E+03,8.47E+03
80,NONE,STD,0.7,0,518.67,0,14.696,1702,29458.9,27756.9,2584.8,1.51865,7.61E+03,8.26E+03
81,NONE,STD,0.8,0,518.67,0,14.696,16515.5,63930.1,47414.7,12180,0.73749,8.04E+03,9.56E+03
82,NONE,STD,0.8,0,518.67,0,14.696,14863.9,61242.3,46378.3,11087.8,0.74596,8.02E+03,9.47E+03
83,NONE,STD,0.8,0,518.67,0,14.696,13212.4,58532.5,45320.1,10000.1,0.75687,8.00E+03,9.38E+03
84,NONE,STD,0.8,0,518.67,0,14.696,11560.8,55779.5,44218.7,8920.7,0.77163,7.97E+03,9.28E+03
85,NONE,STD,0.8,0,518.67,0,14.696,9909.3,52979.5,43070.2,7863.2,0.79352,7.94E+03,9.17E+03
86,NONE,STD,0.8,0,518.67,0,14.696,8257.7,50131.6,41873.8,6818.4,0.82569,7.90E+03,9.05E+03
87,NONE,STD,0.8,0,518.67,0,14.696,6606.2,47191.8,40585.6,5799.9,0.87794,7.85E+03,8.92E+03
88,NONE,STD,0.8,0,518.67,0,14.696,4954.6,44137.6,39183,4822.4,0.97331,7.79E+03,8.77E+03
89,NONE,STD,0.8,0,518.67,0,14.696,3303.1,40941.9,37638.8,3879,1.17436,7.70E+03,8.59E+03
90,NONE,STD,0.8,0,518.67,0,14.696,1651.5,37599.2,35947.6,2941.2,1.7809,7.60E+03,8.39E+03
91,NONE,STD,0.9,0,518.67,0,14.696,16076.6,74057.3,57980.7,12803.9,0.79643,8.01E+03,9.65E+03
92,NONE,STD,0.9,0,518.67,0,14.696,14468.9,71289.3,56820.4,11674.9,0.80689,7.99E+03,9.56E+03
93,NONE,STD,0.9,0,518.67,0,14.696,12861.3,68472.7,55611.4,10551.4,0.8204,7.96E+03,9.47E+03
94,NONE,STD,0.9,0,518.67,0,14.696,11253.6,65607.7,54354.1,9438.3,0.83869,7.94E+03,9.37E+03
95,NONE,STD,0.9,0,518.67,0,14.696,9645.9,62692.5,53046.5,8352.3,0.86589,7.91E+03,9.27E+03
96,NONE,STD,0.9,0,518.67,0,14.696,8038.3,59731.3,51693.1,7281.3,0.90583,7.87E+03,9.16E+03
97,NONE,STD,0.9,0,518.67,0,14.696,6430.6,56694.9,50264.3,6247.8,0.97156,7.82E+03,9.03E+03
98,NONE,STD,0.9,0,518.67,0,14.696,4823,53536.1,48713.1,5252.4,1.08904,7.75E+03,8.88E+03
99,NONE,STD,0.9,0,518.67,0,14.696,3215.3,50287.3,47072,4278.7,1.33073,7.67E+03,8.71E+03
