Case,Limit_Flag,Day,Mach,Alt,Tds,Tt1,Tt2,Tt3,TtB030,Tt4,Tt5,Tt9,Pt1,Pt2,Pt3,PtB030,Pt4,Pt5,Pt9,Fn,Fg,Fr,WFuel,TSFC,CmpH_Nc,N
1,NONE,HOT,0.00,0.0,44.000,562.670,562.666,1176.536,1176.536,2200.000,1668.248,1668.248,14.696,13.961,167.530,167.530,159.154,45.214,44.988,190.3,190.3,0.0,150.4,0.79016,9.6011E+003,1.0000E+004
2,NONE,HOT,0.00,0.0,44.000,562.670,562.666,1176.536,1176.536,2039.083,1494.761,1494.761,14.696,13.961,167.530,167.530,159.154,39.807,39.608,171.3,171.3,0.0,124.8,0.72881,9.6011E+003,1.0000E+004
3,NONE,HOT,0.00,0.0,44.000,562.670,562.666,1176.536,1176.536,1899.194,1343.101,1343.101,14.696,13.961,167.530,167.530,159.154,34.824,34.650,152.3,152.3,0.0,103.2,0.67788,9.6011E+003,1.0000E+004
4,NONE,HOT,0.00,0.0,44.000,562.670,562.666,1176.536,1176.536,1777.301,1210.218,1210.218,14.696,13.961,167.530,167.530,159.154,30.287,30.136,133.2,133.2,0.0,84.8,0.63650,9.6011E+003,1.0000E+004
5,NONE,HOT,0.00,0.0,44.000,562.670,562.666,1176.536,1176.536,1672.131,1095.100,1095.100,14.696,13.961,167.530,167.530,159.154,26.242,26.111,114.2,114.2,0.0,69.2,0.60630,9.6011E+003,1.0000E+004
6,NONE,HOT,0.00,0.0,44.000,562.670,562.666,1176.536,1176.536,1582.625,996.899,996.899,14.696,13.961,167.530,167.530,159.154,22.736,22.623,95.2,95.2,0.0,56.2,0.59091,9.6011E+003,1.0000E+004
7,NONE,HOT,0.00,0.0,44.000,562.670,562.666,1176.536,1176.536,1509.214,916.285,916.285,14.696,13.961,167.530,167.530,159.154,19.844,19.745,76.1,76.1,0.0,45.7,0.60071,9.6011E+003,1.0000E+004
8,NONE,HOT,0.00,0.0,44.000,562.670,562.666,1176.536,1176.536,1453.087,854.658,854.658,14.696,13.961,167.530,167.530,159.154,17.617,17.529,57.1,57.1,0.0,37.8,0.66210,9.6011E+003,1.0000E+004
9,NONE,HOT,0.00,0.0,44.000,562.670,562.666,1176.536,1176.536,1411.703,809.273,809.273,14.696,13.961,167.530,167.530,159.154,16.020,15.940,38.1,38.1,0.0,32.0,0.84105,9.6011E+003,1.0000E+004
10,NONE,HOT,0.00,0.0,44.000,562.670,562.666,1176.536,1176.536,1387.635,782.890,782.890,14.696,13.961,167.530,167.530,159.154,15.080,15.004,19.0,19.0,0.0,28.7,1.50633,9.6011E+003,1.0000E+004
11,NONE,HOT,0.10,0.0,44.000,562.670,563.791,1178.749,1178.749,2200.000,1667.142,1667.142,14.696,14.058,168.702,168.702,160.266,45.398,45.171,181.0,190.5,9.5,150.1,0.82926,9.5915E+003,1.0000E+004
12,NONE,HOT,0.10,0.0,44.000,562.670,563.791,1178.749,1178.749,2046.537,1501.676,1501.676,14.696,14.058,168.702,168.702,160.266,40.213,40.012,162.9,172.4,9.5,125.7,0.77174,9.5915E+003,1.0000E+004
13,NONE,HOT,0.10,0.0,44.000,562.670,563.791,1178.749,1178.749,1912.141,1356.013,1356.013,14.696,14.058,168.702,168.702,160.266,35.412,35.235,144.8,154.3,9.5,104.9,0.72445,9.5915E+003,1.0000E+004
14,NONE,HOT,0.10,0.0,44.000,562.670,563.791,1178.749,1178.749,1794.169,1227.465,1227.465,14.696,14.058,168.702,168.702,160.266,31.016,30.861,126.7,136.2,9.5,87.0,0.68692,9.5915E+003,1.0000E+004
15,NONE,HOT,0.10,0.0,44.000,562.670,563.791,1178.749,1178.749,1691.672,1115.315,1115.315,14.696,14.058,168.702,168.702,160.266,27.070,26.935,108.6,118.1,9.5,71.8,0.66126,9.5915E+003,1.0000E+004
16,NONE,HOT,0.10,0.0,44.000,562.670,563.791,1178.749,1178.749,1603.427,1018.514,1018.514,14.696,14.058,168.702,168.702,160.266,23.606,23.488,90.5,100.0,9.5,58.9,0.65130,9.5915E+003,1.0000E+004
17,NONE,HOT,0.10,0.0,44.000,562.670,563.791,1178.749,1178.749,1529.531,937.357,937.357,14.696,14.058,168.702,168.702,160.266,20.672,20.569,72.4,81.9,9.5,48.3,0.66754,9.5915E+003,1.0000E+004
18,NONE,HOT,0.10,0.0,44.000,562.670,563.791,1178.749,1178.749,1470.746,872.796,872.796,14.696,14.058,168.702,168.702,160.266,18.339,18.247,54.3,63.8,9.5,40.0,0.73657,9.5915E+003,1.0000E+004
19,NONE,HOT,0.10,0.0,44.000,562.670,563.791,1178.749,1178.749,1426.132,823.838,823.838,14.696,14.058,168.702,168.702,160.266,16.593,16.510,36.2,45.7,9.5,33.7,0.93189,9.5915E+003,1.0000E+004
20,NONE,HOT,0.10,0.0,44.000,562.670,563.791,1178.749,1178.749,1396.259,791.085,791.085,14.696,14.058,168.702,168.702,160.266,15.424,15.347,18.1,27.6,9.5,29.6,1.63385,9.5915E+003,1.0000E+004
21,NONE,HOT,0.20,0.0,44.000,562.670,567.164,1185.376,1185.376,2200.000,1663.832,1663.833,14.696,14.354,172.246,172.246,163.634,45.947,45.717,172.0,191.0,19.1,149.2,0.86727,9.5629E+003,1.0000E+004
22,NONE,HOT,0.20,0.0,44.000,562.670,567.164,1185.376,1185.376,2053.855,1506.211,1506.211,14.696,14.354,172.246,172.246,163.634,40.918,40.714,154.8,173.9,19.1,125.9,0.81360,9.5629E+003,1.0000E+004
23,NONE,HOT,0.20,0.0,44.000,562.670,567.164,1185.376,1185.376,1924.743,1366.246,1366.246,14.696,14.354,172.246,172.246,163.634,36.234,36.052,137.6,156.7,19.1,105.9,0.76976,9.5629E+003,1.0000E+004
24,NONE,HOT,0.20,0.0,44.000,562.670,567.164,1185.376,1185.376,1811.025,1242.341,1242.341,14.696,14.354,172.246,172.246,163.634,31.933,31.773,120.4,139.5,19.1,88.7,0.73634,9.5629E+003,1.0000E+004
25,NONE,HOT,0.20,0.0,44.000,562.670,567.164,1185.376,1185.376,1711.420,1133.359,1133.359,14.696,14.354,172.246,172.246,163.634,28.049,27.909,103.2,122.3,19.1,73.8,0.71531,9.5629E+003,1.0000E+004
26,NONE,HOT,0.20,0.0,44.000,562.670,567.164,1185.376,1185.376,1624.855,1038.388,1038.388,14.696,14.354,172.246,172.246,163.634,24.601,24.478,86.0,105.1,19.1,61.1,0.71103,9.5629E+003,1.0000E+004
27,NONE,HOT,0.20,0.0,44.000,562.670,567.164,1185.376,1185.376,1550.900,957.140,957.140,14.696,14.354,172.246,172.246,163.634,21.618,21.510,68.8,87.9,19.1,50.5,0.73382,9.5629E+003,1.0000E+004
28,NONE,HOT,0.20,0.0,44.000,562.670,567.164,1185.376,1185.376,1489.949,890.167,890.167,14.696,14.354,172.246,172.246,163.634,19.176,19.080,51.6,70.7,19.1,41.8,0.81034,9.5629E+003,1.0000E+004
29,NONE,HOT,0.20,0.0,44.000,562.670,567.164,1185.376,1185.376,1442.823,838.402,838.402,14.696,14.354,172.246,172.246,163.634,17.287,17.200,34.4,53.5,19.1,35.2,1.02262,9.5629E+003,1.0000E+004
30,NONE,HOT,0.20,0.0,44.000,562.670,567.164,1185.376,1185.376,1407.869,800.056,800.056,14.696,14.354,172.246,172.246,163.634,15.904,15.825,17.2,36.3,19.1,30.3,1.76142,9.5629E+003,1.0000E+004
31,NONE,HOT,0.30,0.0,44.000,562.670,572.787,1196.381,1196.381,2200.000,1658.338,1658.338,14.696,14.855,178.255,178.255,169.343,46.862,46.628,163.3,191.9,28.6,147.6,0.90400,9.5159E+003,1.0000E+004
